code,title,points_r1_2021,points_r1_2020,points_r1_2019
DN520,Joint Honours (options),381.0,310.0,408.0
DN530,Humanities (options),397.0,340.0,411.0
DN541,Modern Languages (options),320.0,303.0,412.0
DN600,Law (options),576.0,546.0,532.0
DN610,Business and Law,573.0,545.0,543.0
DN650,Commerce,555.0,521.0,510.0
DN660,Commerce International (options),555.0,517.0,531.0
DN670,Economics and Finance,,613.0,601.0
DN700,Social Sciences (options),475.0,421.0,441.0
DN710,Economics,534.0,498.0,488.0
DN720,Psychology,566.0,530.0,531.0
DN750,Social Policy and Sociology,421.0,378.0,366.0
DK810,Accounting and Finance,307.0,305.0,391.0
DK816,Business Studies,301.0,300.0,357.0
DK820,Computing in Games Development,309.0,311.0,369.0
DK821,Computing in Software Development,320.0,302.0,347.0
DK830,Building Surveying,305.0,336.0,349.0
DK831,Architectural Technology,368.0,389.0,366.0
DK832,Construction Management,358.0,387.0,329.0
DK843,Engineering (Common Entry),404.0,340.0,402.0
DK861,Arts,302.0,302.0,358.0
DK862,Social Care,322.0,301.0,338.0
DK863,Creative Media,336.0,308.0,376.0
DK864,Film and Television Production,308.0,300.0,332.0
DK865,Audio and Music Production,352.0,301.0,346.0
DK870,General Nursing,,403.0,401.0
DK872,Intellectual Disability Nursing,367.0,336.0,317.0
DK874,Mental Health Nursing,398.0,356.0,378.0
DK876,Early Childhood Studies,300.0,321.0,359.0
DK877,Midwifery,482.0,440.0,441.0
DK880,Health and Physical Activity,301.0,328.0,367.0
DK882,Agriculture (Award options),342.0,310.0,358.0
DK883,Science (Award options),373.0,358.0,369.0
GA181,Accounting,303.0,309.0,378.0
GA182,Business,285.0,287.0,347.0
GA183,Business Information Systems,298.0,296.0,373.0
GA184,Marketing and Sales,300.0,307.0,348.0
GA185,Finance and Economics,318.0,293.0,398.0
GA186,Business with Entrepreneurship,287.0,280.0,328.0
GA187,Rural Enterprise and Agri-Business,291.0,281.0,367.0
GA281,Film and Documentary,310.0,304.0,360.0
GA282,Heritage Studies,252.0,220.0,308.0
GA283,Contemporary Art (portfolio),790.0,679.0,340.0
GA284,Design,331.0,303.0,377.0
GA380,International Hotel Management,218.0,242.0,289.0
GA381,International Tourism Management,252.0,278.0,290.0
GA382,Culinary and Gastronomic Science,235.0,206.0,316.0
GA384,Event Management with Public Relations,230.0,212.0,289.0
GA480,Construction Management,302.0,260.0,312.0
GA482,Quantity Surveying and Construction Economics,304.0,288.0,340.0
GA483,Architectural Technology,281.0,265.0,321.0
GA484,Civil Engineering,377.0,290.0,362.0
GA580,Software and Electronic Engineering,300.0,300.0,351.0
GA680,Mechanical Engineering,400.0,330.0,389.0
GA681,Energy Engineering,312.0,293.0,328.0
GA682,Biomedical Engineering,331.0,313.0,383.0
GA683,Agricultural Engineering,304.0,309.0,365.0
GA684,Engineering Common Entry to Manu/Agri/Biomed/Energ,413.0,340.0,406.0
GA780,Applied Freshwater and Marine Biology,366.0,327.0,360.0
GA781,Applied Biology and Biopharmaceutical Science,381.0,337.0,376.0
GA782,Chemical and Pharmaceutical Science,356.0,336.0,346.0
GA783,Physics and Instrumentation,301.0,363.0,378.0
GA784,Science (Undenominated),445.0,372.0,377.0
GA785,Medical Science,517.0,473.0,486.0
GA786,Forensic Science and Analysis,408.0,317.0,366.0
GA787,Computing in Software Development,310.0,270.0,327.0
GA788,Computing and Digital Media,270.0,274.0,327.0
GA789,Agriculture and Environmental Management,340.0,287.0,339.0
GA790,Sport and Exercise Science,376.0,356.0,379.0
GA791,Public Health Nutrition,368.0,368.0,397.0
GA880,General Nursing,,429.0,400.0
GA882,Psychiatric Nursing,369.0,367.0,370.0
GA885,Outdoor Education,269.0,252.0,298.0
GA887,History and Geography,201.0,244.0,296.0
GA889,Applied Social Care,265.0,266.0,297.0
GA890,Early Childhood Education and Care,281.0,270.0,319.0
GA980,Education (Design Graphics and Construction),410.0,377.0,389.0
GY101,Arts (Joint-Honours),327.0,300.0,374.0
GY104,BSc (Psychology),564.0,523.0,529.0
GY105,Arts (History),357.0,301.0,358.0
GY109,Arts (Mathematics and Education),413.0,403.0,487.0
GY110,Arts (Children and Youth Studies - options),387.0,357.0,409.0
